Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,417.187500,417.187500,390.000000,397.500000,339.632385,1681900
2000-01-04,390.000000,391.406250,373.125000,373.125000,318.805847,2403200
2000-01-05,381.562500,390.000000,371.250000,388.125000,331.622253,1742500
2000-01-06,384.843750,410.156250,384.375000,406.875000,347.642548,1863200
2000-01-07,405.000000,412.031250,396.093750,405.000000,346.040527,1394500
2000-01-10,412.031250,412.031250,401.718750,403.593750,344.839020,850300
2000-01-11,400.312500,407.812500,396.562500,398.437500,340.433380,996600
2000-01-12,401.718750,412.500000,400.781250,412.500000,352.448700,1145700
2000-01-13,412.500000,420.468750,410.156250,417.187500,356.453827,1237900
2000-01-14,423.750000,439.218750,423.281250,435.000000,371.673187,2225400
2000-01-18,435.468750,442.031250,428.906250,438.750000,374.877228,1571700
2000-01-19,435.000000,450.937500,434.062500,448.125000,382.887421,1955200
2000-01-20,449.062500,450.468750,428.906250,439.569763,375.577667,1358200
2000-01-21,436.406250,438.750000,419.062500,423.281250,361.660400,1547900
2000-01-24,427.500000,427.500000,409.687500,413.906250,353.650177,1143200
2000-01-25,426.093750,431.250000,413.437500,419.062500,358.055878,1541800
2000-01-26,423.750000,439.218750,422.343750,435.937500,372.474182,1334300
2000-01-27,439.687500,446.250000,433.125000,442.500000,378.081360,1449100
2000-01-28,431.250000,438.750000,420.000000,420.937500,359.657867,1207100
2000-01-31,424.687500,434.531250,421.875000,427.500000,365.265045,1360400
2000-02-01,431.718750,438.750000,430.781250,436.875000,373.275269,1197400
2000-02-02,437.343750,439.687500,427.500000,433.125000,370.071106,1318900
2000-02-03,433.593750,435.000000,412.500000,422.343750,360.992767,1900200
2000-02-04,426.562500,433.125000,406.406250,410.625000,350.976349,1466200
2000-02-07,414.843750,421.406250,406.406250,407.812500,348.572296,1244100
2000-02-08,414.843750,421.406250,413.437500,420.000000,358.989532,1320500
2000-02-09,413.437500,418.125000,404.531250,406.406250,347.370361,1265200
2000-02-10,408.750000,413.906250,397.500000,402.656250,344.165192,1124300
2000-02-11,406.406250,413.906250,396.562500,405.000000,346.168427,1326300
2000-02-14,406.875000,409.218750,390.468750,405.000000,346.168427,1153700
2000-02-15,396.562500,412.031250,395.156250,411.562500,351.777740,1403100
2000-02-16,405.937500,411.562500,397.968750,402.187500,343.764404,910300
2000-02-17,406.875000,410.625000,391.406250,393.750000,336.552521,1287400
2000-02-18,393.281250,395.156250,374.531250,385.781250,329.741516,2039100
2000-02-22,385.312500,392.812500,375.000000,382.500000,326.936890,1947400
2000-02-23,381.562500,387.656250,378.750000,382.031250,326.536194,1555300
2000-02-24,375.000000,377.812500,360.000000,369.375000,315.718414,3156600
2000-02-25,370.312500,380.156250,353.437500,360.000000,307.705200,1884900
2000-02-28,371.250000,379.687500,367.500000,367.500000,314.115753,3225100
2000-02-29,378.750000,390.937500,377.343750,388.125000,331.744843,2547700
2000-03-01,399.375000,399.375000,384.375000,387.187500,330.943390,1671900
2000-03-02,389.531250,390.000000,375.000000,386.250000,330.142120,1161300
2000-03-03,401.250000,403.593750,396.562500,400.781250,342.562469,1851300
2000-03-06,405.000000,406.875000,382.968750,391.406250,334.549255,1241700
2000-03-07,396.093750,396.562500,377.812500,377.812500,322.930298,1145400
2000-03-08,380.625000,382.031250,368.906250,378.750000,323.731476,1180700
2000-03-09,367.968750,377.812500,363.750000,377.812500,322.930298,1507300
2000-03-10,373.593750,380.156250,365.625000,367.500000,314.115753,1227100
2000-03-13,359.531250,374.531250,358.125000,374.531250,320.125854,1928800
2000-03-14,375.937500,377.812500,369.375000,373.125000,318.923645,1192100
2000-03-15,369.843750,391.875000,366.562500,391.875000,334.949982,2380000
2000-03-16,402.187500,427.500000,395.625000,420.937500,359.790833,3432400
2000-03-17,424.218750,433.125000,420.937500,427.500000,365.400024,1960400
2000-03-20,420.937500,430.781250,414.843750,421.406250,360.191498,1368000
2000-03-21,422.343750,436.406250,417.187500,435.468750,372.211151,2067400
2000-03-22,436.875000,442.500000,432.187500,440.625000,376.618408,1489800
