Date,Open,High,Low,Close,Adj Close,Volume
2000/1/3,17057.69922,17426.16016,17057.69922,17369.63086,17369.63086,0
2000/1/4,17303,17303,16933.51953,17072.82031,17072.82031,0
2000/1/5,16608.55078,16608.55078,15688.49023,15846.71973,15846.71973,0
2000/1/6,15942.07031,15971.03027,14763.96973,15153.23047,15153.23047,0
2000/1/7,15329.33984,15513.88965,15108.75,15405.62988,15405.62988,0
2000/1/10,15631,16065.08984,15631,15848.15039,15848.15039,0
2000/1/11,15981.12988,16196.08984,15736.16992,15862.09961,15862.09961,0
2000/1/12,15691.73047,15744.04004,15545.66992,15714.2002,15714.2002,0
2000/1/13,15763.25977,15861.16992,15458.62988,15633.95996,15633.95996,0
2000/1/14,15741.54004,15863.48047,15322.19043,15542.23047,15542.23047,0
2000/1/17,15666.05957,15827.50977,15474.38965,15574.55957,15574.55957,0
2000/1/18,15575.67969,15801.07031,15508.08008,15789.2002,15789.2002,0
2000/1/19,15719.04004,15719.04004,15192.28027,15275.33984,15275.33984,0
2000/1/20,15347.7002,15347.7002,15078.03027,15215.30957,15215.30957,0
2000/1/21,15094.90039,15120.36035,14903.7002,15108.41016,15108.41016,0
2000/1/24,15233.79004,15413.75,15020.16992,15167.54981,15167.54981,0
2000/1/25,15093.53027,15150.21973,14910.29004,15103.04004,15103.04004,0
2000/1/26,15164.79981,15452.71973,15164.79981,15427.71973,15427.71973,0
2000/1/27,15460.20996,15925.17969,15460.20996,15917.80957,15917.80957,0
2000/1/28,16052.07031,16315.74023,16023.37012,16185.94043,16185.94043,0
2000/1/31,15889.04981,15889.04981,15444.82031,15532.33984,15532.33984,0
2000/2/1,15600.25977,15764.40039,15580.45996,15653.86035,15653.86035,0
2000/2/2,15747.55957,15957.91992,15747.55957,15789.82031,15789.82031,0
2000/2/3,15795.58984,16010.03027,15702.84961,15968.12012,15968.12012,0
2000/2/4,null,null,null,null,null,null
2000/2/7,null,null,null,null,null,null
2000/2/8,16079.88965,16285.92969,15940.30957,16228.73047,16228.73047,0
2000/2/9,16456.86914,16967.90039,16456.86914,16819.46094,16819.46094,0
2000/2/10,16679.78906,16874.08984,16525.56055,16845.16992,16845.16992,0
2000/2/11,17024.36914,17653.65039,17024.36914,17380.30078,17380.30078,0
2000/2/14,17546.4707,17939.26953,17107.90039,17188.96094,17188.96094,0
2000/2/15,17257.36914,17296.9707,16548.75,16688.16016,16688.16016,0
2000/2/16,16771.09961,17144.94922,16732.81055,17043.39063,17043.39063,0
2000/2/17,17075.90039,17229.15039,16770.14063,16981.23047,16981.23047,0
2000/2/18,16985.30078,17027.94922,16468.94922,16599.16016,16599.16016,0
2000/2/21,16412.63086,16477.09961,16136.5,16322.37012,16322.37012,0
2000/2/22,16294.94043,16442.58008,15776.34961,16255.16992,16255.16992,0
2000/2/23,16313.95996,16523.65039,16297.12988,16376.79004,16376.79004,0
2000/2/24,16512.57031,17083.30078,16512.57031,17058.66016,17058.66016,0
2000/2/25,17279.50977,17414.46094,16905.40039,17200.98047,17200.98047,0
2000/2/28,17434.7207,17746.76953,16638.46094,16984.43945,16984.43945,0
